
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
68:7F:74:E8:7F:F6, 2017-05-20 23:33:40, 2017-05-20 23:34:09,  6,  54, WEP, WEP,   , -92,        2,        3,   0.  0.  0.  0,   7, Linksys, 
2C:56:DC:43:4B:90, 2017-05-20 23:33:42, 2017-05-20 23:34:34,  2,  54, WPA2, CCMP,PSK, -93,        4,        0,   0.  0.  0.  0,  15, RT-AC1200_90_2G, 
84:1B:5E:B0:E4:8D, 2017-05-20 23:33:21, 2017-05-20 23:34:37,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       12,        0,   0.  0.  0.  0,   6, B0E48D, 
FA:8F:CA:58:EE:94, 2017-05-20 23:33:11, 2017-05-20 23:34:37, 11,  54, OPN, ,   , -91,       32,        0,   0.  0.  0.  0,   0, , 
9C:34:26:FC:11:6F, 2017-05-20 23:33:16, 2017-05-20 23:34:32,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       22,        0,   0.  0.  0.  0,   8, Madden01, 
BC:EE:7B:7C:C4:08, 2017-05-20 23:33:12, 2017-05-20 23:34:37,  6,  54, WPA2, CCMP,PSK, -81,       39,        6,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-05-20 23:33:11, 2017-05-20 23:34:38,  6,  54, WPA2, CCMP,PSK, -69,      102,       53,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-05-20 23:33:07, 2017-05-20 23:34:39,  1,  54, WPA2, CCMP,PSK, -54,       97,       12,   0.  0.  0.  0,   6, Bender, 
14:91:82:F0:0C:26, 2017-05-20 23:33:49, 2017-05-20 23:34:36, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:1A:59:95:F5:14, 2017-05-20 23:34:21, 2017-05-20 23:34:21,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FA:8F:CA:60:F8:77, 2017-05-20 23:34:37, 2017-05-20 23:34:37, 11,  54, OPN, ,   , -92,        1,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
50:2E:5C:E6:7E:52, 2017-05-20 23:33:36, 2017-05-20 23:33:36, -41,        3, B8:C7:5D:0C:A9:F7,
B4:3A:28:FC:B6:48, 2017-05-20 23:33:12, 2017-05-20 23:33:12,  -1,        2, BC:EE:7B:7C:C4:08,
2C:08:8C:7E:46:90, 2017-05-20 23:33:28, 2017-05-20 23:33:28, -90,        1, (not associated) ,
14:49:E0:6A:22:48, 2017-05-20 23:34:08, 2017-05-20 23:34:08, -92,        1, (not associated) ,iPhone
E4:58:E7:8F:5D:25, 2017-05-20 23:33:43, 2017-05-20 23:33:43, -88,        1, (not associated) ,
C8:E0:EB:5B:B9:D1, 2017-05-20 23:33:49, 2017-05-20 23:34:36, -86,        2, 14:91:82:F0:0C:26,
2C:08:8C:20:F2:3C, 2017-05-20 23:34:11, 2017-05-20 23:34:11, -85,        3, (not associated) ,
F8:04:2E:DE:BE:67, 2017-05-20 23:33:08, 2017-05-20 23:34:32, -84,       50, (not associated) ,CenturyLink1642
80:29:94:08:B0:8D, 2017-05-20 23:33:21, 2017-05-20 23:34:21, -84,       11, (not associated) ,CenturyLink8943
7C:ED:8D:3D:B8:00, 2017-05-20 23:33:10, 2017-05-20 23:34:40, -87,       83, (not associated) ,Maria
14:1F:78:AF:34:56, 2017-05-20 23:34:04, 2017-05-20 23:34:37, -53,       42, 78:24:AF:ED:AB:A0,
6C:AD:F8:15:0B:0F, 2017-05-20 23:34:19, 2017-05-20 23:34:19, -46,        7, B8:C7:5D:0C:A9:F7,

