
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FE:86:D8:58:82:B1, 2017-05-20 17:33:38, 2017-05-20 17:34:11,  1,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
10:0D:7F:DB:BB:8A, 2017-05-20 17:34:25, 2017-05-20 17:34:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,   8, Martinez, 
BC:EE:7B:7C:C4:08, 2017-05-20 17:33:42, 2017-05-20 17:35:46,  6,  54, WPA2, CCMP,PSK, -81,       41,        3,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-05-20 17:33:38, 2017-05-20 17:35:47,  6,  54, WPA2, CCMP,PSK, -65,      189,       29,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-05-20 17:33:38, 2017-05-20 17:35:48,  1,  54, WPA2, CCMP,PSK, -55,      143,       15,   0.  0.  0.  0,   6, Bender, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:1F:78:AF:34:56, 2017-05-20 17:34:15, 2017-05-20 17:34:15,  -1,        2, 78:24:AF:ED:AB:A0,
2C:08:8C:20:F2:3C, 2017-05-20 17:33:54, 2017-05-20 17:33:54, -86,        1, (not associated) ,
14:49:E0:6A:22:48, 2017-05-20 17:33:38, 2017-05-20 17:34:11, -82,        3, FE:86:D8:58:82:B1,
6C:AD:F8:15:0B:0F, 2017-05-20 17:33:47, 2017-05-20 17:34:35, -38,       11, B8:C7:5D:0C:A9:F7,
80:29:94:08:B0:8D, 2017-05-20 17:33:44, 2017-05-20 17:35:15, -87,       13, (not associated) ,CenturyLink8943
E8:93:09:7B:66:2D, 2017-05-20 17:33:39, 2017-05-20 17:35:06, -82,        2, (not associated) ,
1C:CB:99:03:54:2A, 2017-05-20 17:35:01, 2017-05-20 17:35:01, -81,        2, (not associated) ,
F8:04:2E:DE:BE:67, 2017-05-20 17:33:46, 2017-05-20 17:35:44, -77,      100, (not associated) ,CenturyLink1642
60:6D:C7:8B:EF:20, 2017-05-20 17:35:08, 2017-05-20 17:35:08, -61,       10, 78:24:AF:ED:AB:A0,
50:2E:5C:E6:7E:52, 2017-05-20 17:34:26, 2017-05-20 17:35:14, -43,        4, B8:C7:5D:0C:A9:F7,

